hscodes,descriptions
6203431000,"- - - - Containing 15 percent or more by weight of down and
waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down"
nan,
nan,- - - - Other:
6203431800,- - - - - Bib and brace overalls
nan,- - - - - Other:
"Schedule B No
and Headings",Commodity Description
6203435010,- - - - - - Trousers and breeches
6203435050,- - - - - - Shorts
nan,- - - - Of artificial fibers:
6203491000,- - - - - Bib and brace overalls
6203492500,"- - - - - Trousers, breeches and shorts"
6203493000,- - - - Other
nan,- - Suits:
6204191500,- - - - Of artificial fibers
6204193000,- - - - Other
nan,- - Ensembles:
6204292000,- - - - Of artificial fibers
6204294000,- - - - Other
nan,- - Suit-type jackets and blazers:
6204391500,- - - - Of artificial fibers
6204394000,- - - - Other
nan,- - Dresses:
nan,- - Skirts and divided skirts:
6204592500,- - - - Of artificial fibers
6204594000,- - - - Other
nan,"- - Trousers, bib and brace overalls, breeches and shorts:"
"Schedule B No
and Headings",Commodity Description
6204621000,- - - - Containing 15 percent or more by weight of down and
nan,waterfowl plumage and of which down comprises 35 percent or
nan,more by weight; containing 10 percent or more by weight of down
6204622000,"- - - - Other:
- - - - - Bib and brace overalls"
nan,- - - - - Other:
6204624007,"- - - - - - Trousers and breeches:
- - - - - - - Corduroy"
6204624013,- - - - - - - Blue Denim
6204624017,- - - - - - - Other
6204624057,- - - - - - Shorts
6204631000,- - - - Containing 15 percent or more by weight of down and
nan,waterfowl plumage and of which down comprises 35 percent or
nan,more by weight; containing 10 percent or more by weight of down
6204631400,"- - - - Other:
- - - - - Bib and brace overalls"
nan,- - - - - Other:
6204632500,"- - - - - - Containing 36 percent or more by weight of wool or fine
animal hair"
6204633200,"- - - - - - Other:
- - - - - - - Trousers and breeches"
6204633550,- - - - - - - Shorts
6204691500,- - - - Of artificial fibers
6204697000,- - - - Other
6205202022,- - - Dress
6205203000,- - - Other
6205301500,- - - Containing 36 percent or more by weight of wool or fine animal hair
6205302035,"- - - Other:
- - - - Dress"
6205302085,- - - - Other
6205901500,- - - Of wool or fine animal hair
6205909000,- - - Other
"Schedule B No
and Headings",Commodity Description
nan,- - Underpants and briefs:
nan,- - Nightshirts and pajamas:
nan,- - Other:
6207911000,"- - - - Bathrobes, dressing gowns and similar articles"
6207913000,- - - - Other
nan,- - - - Of man-made fibers:
6207997500,"- - - - - Bathrobes, dressing gowns and similar articles"
6207998500,- - - - - Other
nan,- - - - Other:
6207999015,"- - - - - Bathrobes, dressing gowns and similar articles"
6207999045,- - - - - Other
nan,- - Slips and petticoats:
nan,- - Nightdresses and pajamas:
nan,- - Other:
6208911000,"- - - - Bathrobes, dressing gowns and similar articles"
6208913000,- - - - Other
6208920015,"- - - - Bathrobes, dressing gowns and similar articles"
6208920035,- - - - Other
nan,- - - - Of wool or fine animal hair:
6208992010,"- - - - - Bathrobes, dressing gowns and similar articles"
"Schedule B No
and Headings",Commodity Description
6208992020,- - - - - Other
6208999000,- - - - Other
6209900500,- - - Of wool of fine animal hair
6209908000,- - - Other
nan,
6210401000,- - - Of man-made fibers
6210402000,- - - Other
6210501000,- - - Of man-made fibers
6210502000,- - - Other
nan,- - Swimwear:
"- - - Containing 15 percent or more by weight of down and waterfowl
plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down:",
6211201015,- - - - Men's or boys'
6211201035,- - - - Women's or girls'
nan,- - - Other:
6211201500,- - - - Water resistant
nan,- - - - Other:
6211208000,- - - - - Men's or boys'
6211209000,- - - - - Women's or girls'
nan,"- - Other garments, men's or boys':"
6211390500,- - - - Of wool or fine animal hair
6211398000,- - - - Other
nan,"- - Other garments, women's or girls':"
"Schedule B No
and Headings",Commodity Description
6211494100,- - - - Of wool or fine animal hair
6211498000,- - - - Other
6212100010,- - - Of cotton
6212100020,- - - Of man-made fibers
6212100030,- - - Other
6212200010,- - - Of cotton
6212200020,- - - Of man-made fibers
6212200030,- - - Other
6213900600,- - - Of silk or silk waste
6213901000,- - - Of man-made fibers
6213902000,- - - Other
6214900010,- - - Of cotton
6214900090,- - - Other
6216000900,"- - Impregnated, coated or covered with plastics or rubber"
nan,- - Other:
6216003200,- - - Of cotton
6216004000,- - - Of man-made fibers
6216008000,- - - Of wool or fine animal hair
6216009000,- - - Other
