hscodes,descriptions
6110303060,- - - - - - - - Men's or boys'
6110303070,- - - - - - - - Women's or girls'
- - - Containing 25 percent or more by weight of leather:,
6110301070,- - - - Men's or boys'
6110301080,- - - - Women's or girls'
nan,- - - Sweaters:
6110900011,- - - - Men's or boys'
6110900027,- - - - Women's or girls'
nan,- - - Other:
6110900092,- - - - Men's or boys'
6110900096,- - - - Women's or girls'
6111900500,- - - Of wool or fine animal hair
6111901500,- - - Of artificial fibers
6111906002,- - - Other
- - Track suits (including warm-up suits and jogging suits):,
- - - - Garments described in heading 6101 or 6102 and shirts:,
6112110015,- - - - - Men's or boys'
6112110035,- - - - - Women's or girls'
nan,- - - - Trousers:
6112110050,- - - - - Men's or boys'
6112110060,- - - - - Women's or girls'
- - - - Garments described in heading 6101 or 6102 and shirts:,
6112120015,- - - - - Men's or boys'
6112120035,- - - - - Women's or girls'
nan,- - - - Trousers:
6112120050,- - - - - Men's or boys'
6112120060,- - - - - Women's or girls'
6112191000,- - - - Of artificial fibers
6112192000,- - - - Other
6112201000,- - - Of manmade fibers
6112202000,- - - Of other textile materials
nan,- - Men's or boys' swimwear:
nan,5906 or 5907:
nan,"- - Having an outer surface impregnated, coated, covered, or"
nan,laminated with rubber or plastic material which completely obscures
nan,the underlying fabric:
6113000005,"- - - Coats and jackets:
- - - - Men's or boys'"
6113000010,- - - - Women's or girls'
6113000012,- - - Other
6113000095,"- - Other:
- - - Men's or boys'"
6113000097,- - - Women's or girls'
6114900500,- - - Of wool or fine animal hair
6114908000,- - - Other
nan,"graduated compression hosiery (for example, stockings for varicose"
nan,"veins) and footwear without applied soles, knitted or crocheted:"
nan,- - Other panty hose and tights:
6115990002,- - - Of other textile materials
6117804000,"- - - Ties, bow ties and cravats"
6117809000,- - - Other
